Hour,CPEpor_F,CPEpor_n,Rpor,CPEb_F,CPEb_n,Rb
196,0.00014003329166666667,0.8258333333333333,223.29166666666669,1.9270833333333335e-05,0.8420833333333334,193495.8333333333
197,0.0001407475074404762,0.8258630952380952,222.90029761904762,1.9356398809523812e-05,0.8422470238095239,193105.50595238095
198,0.00014146172321428572,0.8258928571428571,222.50892857142856,1.944196428571429e-05,0.8424107142857143,192715.17857142858
199,0.00014217593898809526,0.825922619047619,222.11755952380952,1.9527529761904766e-05,0.8425744047619048,192324.85119047618
200,0.00014289015476190477,0.8259523809523809,221.72619047619048,1.9613095238095242e-05,0.8427380952380953,191934.5238095238
201,0.00014360437053571428,0.8259821428571428,221.33482142857144,1.969866071428572e-05,0.8429017857142858,191544.19642857142
202,0.00014431858630952382,0.8260119047619047,220.94345238095238,1.9784226190476192e-05,0.8430654761904762,191153.86904761905
203,0.00014503280208333333,0.8260416666666667,220.55208333333331,1.986979166666667e-05,0.8432291666666667,190763.5416666667
204,0.00014574701785714287,0.8260714285714286,220.16071428571428,1.9955357142857146e-05,0.8433928571428572,190373.2142857143
205,0.00014646123363095239,0.8261011904761905,219.76934523809524,2.0040922619047623e-05,0.8435565476190476,189982.8869047619
206,0.00014717544940476193,0.8261309523809524,219.3779761904762,2.01264880952381e-05,0.8437202380952381,189592.55952380953
207,0.00014788966517857144,0.8261607142857142,218.98660714285714,2.0212053571428576e-05,0.8438839285714286,189202.23214285716
208,0.00014860388095238095,0.8261904761904761,218.5952380952381,2.0297619047619053e-05,0.8440476190476192,188811.90476190476
209,0.0001493180967261905,0.826220238095238,218.20386904761904,2.0383184523809526e-05,0.8442113095238096,188421.57738095237
210,0.0001500323125,0.8262499999999999,217.8125,2.0468750000000003e-05,0.8443750000000001,188031.25
211,0.00015074652827380954,0.8262797619047618,217.42113095238096,2.055431547619048e-05,0.8445386904761906,187640.92261904763
212,0.00015146074404761905,0.8263095238095237,217.02976190476193,2.0639880952380956e-05,0.844702380952381,187250.59523809524
213,0.0001521749598214286,0.8263392857142857,216.63839285714286,2.0725446428571433e-05,0.8448660714285715,186860.26785714284
214,0.0001528891755952381,0.8263690476190476,216.2470238095238,2.081101190476191e-05,0.845029761904762,186469.94047619047
215,0.00015360339136904762,0.8263988095238095,215.85565476190476,2.0896577380952383e-05,0.8451934523809524,186079.6130952381
216,0.00015431760714285716,0.8264285714285714,215.46428571428572,2.098214285714286e-05,0.8453571428571429,185689.2857142857
217,0.00015503182291666667,0.8264583333333333,215.07291666666669,2.1067708333333337e-05,0.8455208333333334,185298.9583333333
218,0.0001557460386904762,0.8264880952380952,214.68154761904762,2.1153273809523813e-05,0.8456845238095239,184908.63095238095
219,0.00015646025446428572,0.8265178571428571,214.29017857142856,2.123883928571429e-05,0.8458482142857143,184518.30357142858
220,0.00015717447023809526,0.826547619047619,213.89880952380952,2.1324404761904767e-05,0.8460119047619048,184127.97619047618
221,0.00015788868601190477,0.8265773809523809,213.50744047619048,2.140997023809524e-05,0.8461755952380953,183737.6488095238
222,0.00015860290178571428,0.8266071428571428,213.11607142857144,2.1495535714285717e-05,0.8463392857142857,183347.32142857142
223,0.00015931711755952382,0.8266369047619048,212.72470238095238,2.1581101190476194e-05,0.8465029761904762,182956.99404761905
224,0.00016003133333333333,0.8266666666666667,212.33333333333331,2.166666666666667e-05,0.8466666666666667,182566.66666666666
225,0.00016074554910714287,0.8266964285714286,211.94196428571428,2.1752232142857147e-05,0.8468303571428571,182176.3392857143
226,0.00016145976488095239,0.8267261904761904,211.55059523809524,2.1837797619047624e-05,0.8469940476190476,181786.0119047619
227,0.00016217398065476192,0.8267559523809523,211.1592261904762,2.19233630952381e-05,0.8471577380952382,181395.68452380953
228,0.00016288819642857144,0.8267857142857142,210.76785714285714,2.2008928571428574e-05,0.8473214285714287,181005.35714285716
229,0.00016360241220238095,0.8268154761904761,210.3764880952381,2.209449404761905e-05,0.8474851190476191,180615.02976190476
230,0.0001643166279761905,0.826845238095238,209.98511904761904,2.2180059523809527e-05,0.8476488095238096,180224.70238095237
231,0.00016503084375,0.8268749999999999,209.59375,2.2265625000000004e-05,0.8478125000000001,179834.375
232,0.00016574505952380954,0.8269047619047618,209.20238095238096,2.235119047619048e-05,0.8479761904761905,179444.04761904763
233,0.00016645927529761905,0.8269345238095238,208.81101190476193,2.2436755952380958e-05,0.848139880952381,179053.72023809524
234,0.0001671734910714286,0.8269642857142857,208.41964285714286,2.252232142857143e-05,0.8483035714285715,178663.39285714284
235,0.0001678877068452381,0.8269940476190476,208.0282738095238,2.2607886904761908e-05,0.848467261904762,178273.06547619047
236,0.00016860192261904762,0.8270238095238095,207.63690476190476,2.2693452380952384e-05,0.8486309523809524,177882.7380952381
237,0.00016931613839285715,0.8270535714285714,207.24553571428572,2.277901785714286e-05,0.8487946428571429,177492.4107142857
238,0.00017003035416666667,0.8270833333333333,206.85416666666669,2.2864583333333338e-05,0.8489583333333334,177102.0833333333
